,,,sa - 1 - mesh,,sa - 1 - 1hop,, sa - 10 - mesh,,sa - 10 - 1hop,, sa - 100 - mesh,,sa - 100 - 1hop,, sa - 1000 - mesh,,sa - 1000 - 1hop,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y
tree18-5x5-MC=1,18,-1,1,1,0,49.98999599839936,193500,0,0,0,66.648882960987,193500,1,1,0,49.98999599839936,193500,0,0,0,66.648882960987,193500,1,1,0,49.98999599839936,193500,0,0,0,66.648882960987,193500,1,1,0,49.98999599839936,193500,0,0,0,66.648882960987,193500
tree33-6x6-MC=1,33,-1,4,4,0,99.91998399679936,282240,0,0,0,66.63998399039424,282240,2,2,0,49.974977479731756,282240,0,0,0,66.63998399039424,282240,1,1,0,99.91998399679936,282240,0,0,0,66.63998399039424,282240,1,1,0,99.91998399679936,282240,0,0,0,66.63998399039424,282240
BBT-h3-MC=1,15,-1,2,2,0,49.994998499549865,120840,0,0,0,66.65777540677514,120840,2,2,0,49.994998499549865,120840,0,0,0,66.65777540677514,120840,2,2,0,49.994998499549865,120840,0,0,0,66.65777540677514,120840,2,2,0,49.994998499549865,120840,0,0,0,66.65777540677514,120840
tree35-6x6-MC=1,35,-1,2,2,0,99.91998399679936,282240,0,0,0,99.92999299929993,282240,2,2,0,99.91998399679936,282240,0,0,0,99.92999299929993,282240,1,1,0,66.63555140685425,282240,0,0,0,99.92999299929993,282240,1,1,0,66.63555140685425,282240,0,0,0,99.92999299929993,282240
BBT-h2,6,-1,1,1,0,99.97999599919984,64476,0,0,0,66.66666666666666,64476,0,0,0,66.66666666666666,64476,0,0,0,66.66666666666666,64476,0,0,0,66.66666666666666,64476,0,0,0,66.66666666666666,64476,0,0,0,66.66666666666666,64476,0,0,0,66.66666666666666,64476
dag27-6x6-MC=1,29,-1,2,2,0,49.979983987189755,282240,1,1,0,66.62664265225801,282240,1,1,0,99.8999799959992,282240,0,0,0,66.62664265225801,282240,1,1,0,99.8999799959992,282240,0,0,0,66.62664265225801,282240,1,1,0,99.8999799959992,282240,0,0,0,66.62664265225801,282240
tree27-6x6,26,-1,1,1,0,99.95999199839967,282240,0,0,0,99.95999199839967,282240,0,0,0,99.95999199839967,282240,0,0,0,99.95999199839967,282240,0,0,0,99.95999199839967,282240,0,0,0,99.95999199839967,282240,0,0,0,99.95999199839967,282240,0,0,0,99.95999199839967,282240
BBT-h5-MC=1,63,-1,16,13,0,99.91998399679936,508032,1,1,0,66.648882960987,508032,13,9,0,49.97498248774142,508032,0,0,0,66.648882960987,508032,11,11,0,99.93998799759952,508032,0,0,0,66.648882960987,508032,10,10,0,49.984992496248125,508032,0,0,0,66.648882960987,508032
mults1,27,-1,4,3,0,49.97998799279568,193500,0,0,0,49.98999399639784,193500,3,3,0,33.32443792114217,193500,0,0,0,49.98999399639784,193500,3,3,0,33.32443792114217,193500,0,0,0,49.98999399639784,193500,2,1,0,49.984992496248125,193500,0,0,0,49.98999399639784,193500
jpeg_idct_ifast,346,-1,294,128,0,55.10170332396229,2616300,111,74,0,60.980966325036604,2616300,265,113,0,48.4587049243893,2616300,105,69,0,55.45015809618905,2616300,263,110,0,49.87277353689568,2616300,79,54,0,58.69986493628516,2616300,241,117,0,57.743631217145165,2616300,71,52,0,62.38142785821268,2616300
